region,district id,district name,უბანი,მომაგრებული უბანი,ერთიან სიაში ამომრჩეველთა რაოდენობა,სპეციალურ სიაში ამომრჩეველთა რაოდენობა,აქტივობა 12 საათი,აქტივობა 17 საათი,არჩევნებში მონაწილეთა რაოდენობა,num ballots,ბათილი ბიულეტენები,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1,4,5,9,10,17,19,23,24,26,30,35,36,38,40,41,42
,3,,71,,1174,13,287,719,883,,10,,,,,,,,11,4,176,,7,,,39,14,,3,,0,6,,606,
,3,,72,,1376,9,450,935,1066,,39,,,,,,,,8,2,241,,17,,,43,14,,0,,0,5,,687,
,3,,73,,1522,10,419,943,1075,,41,,,,,,,,10,7,195,,12,,,26,13,,1,,1,4,,756,
,3,,74,,1590,4,447,887,1025,,28,,,,,,,,12,3,228,,11,,,27,7,,2,,0,8,,698,
,3,,75,,1473,10,488,859,943,,25,,,,,,,,7,3,157,,9,,,32,2,,1,,1,14,,692,
,3,,76,,1544,10,450,911,1042,,30,,,,,,,,5,4,165,,6,,,47,6,,1,,3,9,,765,
,3,,77,,1567,6,453,979,1117,,27,,,,,,,,16,1,219,,13,,,51,5,,3,,1,6,,772,
,3,,78,,1542,10,355,851,1049,,28,,,,,,,,12,8,213,,3,,,53,6,,1,,1,14,,705,
,3,,79,,1555,11,387,947,1171,,43,,,,,,,,18,6,221,,14,,,60,16,,4,,0,5,,771,
,3,,80,91,1505,1203,383,825,2054,,60,,,,,,,,7,2,1004,,12,,,35,5,,1,,0,19,,902,
,3,,81,,1360,11,373,725,800,,30,,,,,,,,7,0,249,,10,,,41,2,,1,,0,11,,441,
,3,,82,,1200,6,125,306,370,,16,,,,,,,,0,0,54,,3,,,16,7,,1,,0,4,,263,
,3,,83,,1389,10,409,952,1041,,32,,,,,,,,13,12,220,,6,,,37,18,,5,,0,4,,684,
,3,,84,,1591,8,356,832,982,,27,,,,,,,,7,1,265,,21,,,22,11,,1,,0,7,,615,
,3,,85,,1559,10,393,915,1135,,39,,,,,,,,12,3,236,,14,,,50,11,,0,,1,12,,749,
,3,,86,,1274,6,111,304,391,,15,,,,,,,,5,0,75,,1,,,14,1,,1,,0,3,,269,
,3,,87,,1512,12,467,831,946,,19,,,,,,,,1,3,260,,10,,,27,7,,0,,1,6,,609,
,3,,88,,1017,6,80,246,312,,7,,,,,,,,3,1,50,,5,,,11,3,,1,,1,2,,221,
,3,,89,,1384,13,213,478,558,,15,,,,,,,,6,1,83,,8,,,25,3,,2,,0,6,,404,
,4,,1,,1536,6,300,817,983,,30,,,,,,,,,,232,5,12,,,,8,,,,,5,,689,
,4,,2,,1459,8,285,676,824,,34,,,,,,,,,,187,1,17,,,,13,,,,,11,,558,
,4,,3,,1546,9,254,728,896,,40,,,,,,,,,,223,1,9,,,,3,,,,,6,,613,
,4,,4,,1448,5,380,659,784,,23,,,,,,,,,,223,2,14,,,,8,,,,,4,,510,
,4,,5,,1409,7,0,604,704,,30,,,,,,,,,,157,1,15,,,,3,,,,,8,,490,
,4,,6,,1472,18,291,675,755,,27,,,,,,,,,,196,1,9,,,,2,,,,,5,,507,
,4,,7,,1380,10,266,619,716,,13,,,,,,,,,,217,0,12,,,,2,,,,,13,,457,
,4,,8,,1336,9,335,659,762,,12,,,,,,,,,,237,4,8,,,,3,,,,,5,,493,
,4,,9,,1083,10,232,480,552,,15,,,,,,,,,,186,2,11,,,,7,,,,,5,,325,
,4,,10,,1355,9,300,645,696,,13,,,,,,,,,,259,1,2,,,,13,,,,,6,,395,
,4,,11,,1048,11,264,511,577,,18,,,,,,,,,,289,3,6,,,,3,,,,,3,,255,
,4,,12,,1544,7,433,875,964,,38,,,,,,,,,,364,6,10,,,,21,,,,,9,,512,
,4,,13,,1490,4,387,797,932,,22,,,,,,,,,,322,3,4,,,,59,,,,,8,,511,
,4,,14,35,1552,20,674,1288,1491,,55,,,,,,,,,,741,4,21,,,,3,,,,,7,,660,
,4,,15,36,1450,264,383,983,1357,,39,,,,,,,,,,432,6,10,,,,8,,,,,6,,780,
,4,,16,37,1330,397,383,798,1299,,28,,,,,,,,,,601,0,11,,,,8,,,,,12,,639,
,4,,17,38,1500,592,292,701,1429,,49,,,,,,,,,,689,2,23,,,,3,,,,,11,,652,
,4,,18,,1219,8,287,548,651,,15,,,,,,,,,,232,2,10,,,,1,,,,,6,,383,
,4,,19,,1436,9,305,644,834,,28,,,,,,,,,,262,0,15,,,,3,,,,,8,,518,
,4,,20,,1330,8,374,677,748,,20,,,,,,,,,,299,0,14,,,,2,,,,,9,,400,
,4,,21,,1310,9,321,625,729,,16,,,,,,,,,,293,1,11,,,,0,,,,,14,,394,
,4,,22,,1063,10,252,528,590,,20,,,,,,,,,,206,1,14,,,,1,,,,,10,,338,
,4,,23,,1538,9,298,714,858,,30,,,,,,,,,,241,1,19,,,,7,,,,,5,,554,
,4,,24,,1431,11,257,459,551,,18,,,,,,,,,,269,1,9,,,,0,,,,,3,,251,
,4,,25,,1429,12,366,620,757,,18,,,,,,,,,,218,2,23,,,,3,,,,,11,,479,
,4,,26,,1434,6,361,715,826,,20,,,,,,,,,,240,2,24,,,,2,,,,,10,,528,
